Index | Value
    0 |     1
    1 |     2
    2 |     7
    3 |     9
    4 |    10
    5 |    12
    6 |    13
    7 |    14
    8 |    14
    9 |    15
   10 |    17
   11 |    18
   12 |    20
   13 |    21
   14 |    23
   15 |    24
   16 |    27
   17 |    28
   18 |    29
   19 |    30
   20 |    34
   21 |    37
   22 |    39
   23 |    41
   24 |    45
   25 |    48
   26 |    49
   27 |    50
   28 |    52
   29 |    54
   30 |    58
   31 |    62
   32 |    66
   33 |    68
   34 |    69
   35 |    70
   36 |    74
   37 |    74
   38 |    74
   39 |    74
   40 |    76
   41 |    76
   42 |    77
   43 |    78
   44 |    81
   45 |    81
   46 |    82
   47 |    83
   48 |    84
   49 |    84
   50 |    85
   51 |    85
   52 |    85
   53 |    89
   54 |    90
   55 |    91
   56 |    91
   57 |    93
   58 |    98
