Index | Value
    0 |     2
    1 |     7
    2 |     9
    3 |    10
    4 |    12
    5 |    13
    6 |    14
    7 |    14
    8 |    15
    9 |    17
   10 |    18
   11 |    20
   12 |    21
   13 |    23
   14 |    24
   15 |    27
   16 |    28
   17 |    29
   18 |    30
   19 |    34
   20 |    37
   21 |    39
   22 |    41
   23 |    45
   24 |    48
   25 |    49
   26 |    50
   27 |    52
   28 |    54
   29 |    62
   30 |    66
   31 |    68
   32 |    69
   33 |    70
   34 |    74
   35 |    74
   36 |    74
   37 |    74
   38 |    76
   39 |    76
   40 |    77
   41 |    78
   42 |    81
   43 |    81
   44 |    82
   45 |    83
   46 |    84
   47 |    84
   48 |    85
   49 |    85
   50 |    85
   51 |    89
   52 |    90
   53 |    91
   54 |    91
   55 |    93
